   Point ID     ,  Hz.(º ' "),  V.(º ' "),Slope Dist.(m),Refl.Ht.(m),Inst.Ht.(m),Easting(m),  Northing(m),  Height(m)
ADG             ,  359 59 55 ,   90 48 41,          0,      0.000,      0.000,            0,            0,          0
2               ,  329 05 46 ,  100 06 20,      8.425,      0.000,      0.000,       -4.260,        7.117,     -1.478
3               ,  334 45 57 ,   99 44 17,      8.061,      0.000,      0.000,       -3.387,        7.186,     -1.363
4               ,  342 38 20 ,   97 55 42,      9.644,      0.000,      0.000,       -2.850,        9.117,     -1.330
5               ,  344 01 11 ,   99 50 27,      7.368,      0.000,      0.000,       -1.999,        6.979,     -1.259
6               ,  348 52 00 ,   98 46 05,      8.228,      0.000,      0.000,       -1.570,        7.979,     -1.254
7               ,  357 45 34 ,  100 54 51,      7.501,      0.000,      0.000,       -0.288,        7.360,     -1.420
8               ,    8 11 45 ,  105 31 08,      7.091,      0.000,      0.000,        0.974,        6.763,     -1.897
9               ,   11 25 56 ,  108 15 12,      7.281,      0.000,      0.000,        1.371,        6.778,     -2.281
10              ,    8 22 59 ,  111 19 31,      6.054,      0.000,      0.000,        0.822,        5.580,     -2.202
11              ,  356 39 10 ,  108 23 41,      6.002,      0.000,      0.000,       -0.333,        5.686,     -1.894
12              ,  348 02 58 ,  105 53 39,      6.440,      0.000,      0.000,       -1.282,        6.059,     -1.764
13              ,  334 39 12 ,  103 36 52,      7.100,      0.000,      0.000,       -2.954,        6.237,     -1.671
14              ,  325 15 11 ,  105 38 48,      7.359,      0.000,      0.000,       -4.039,        5.823,     -1.985
15              ,  311 31 39 ,  109 54 23,      7.985,      0.000,      0.000,       -5.620,        4.977,     -2.719
16              ,  318 02 15 ,  106 16 28,      8.109,      0.000,      0.000,       -5.205,        5.788,     -2.273
17              ,  328 48 36 ,  103 22 06,      7.484,      0.000,      0.000,       -3.771,        6.229,     -1.730
18              ,  337 54 22 ,  102 55 41,      7.184,      0.000,      0.000,       -2.634,        6.488,     -1.607
19              ,  346 52 41 ,  101 48 25,      7.151,      0.000,      0.000,       -1.589,        6.817,     -1.463
20              ,  336 53 30 ,  104 19 29,      3.979,      0.000,      0.000,       -1.513,        3.546,     -0.985
21              ,  322 12 56 ,  107 19 53,      3.911,      0.000,      0.000,       -2.287,        2.951,     -1.165
22              ,  308 27 44 ,  111 23 32,      4.040,      0.000,      0.000,       -2.946,        2.340,     -1.474
23              ,  296 58 27 ,  114 29 59,      5.513,      0.000,      0.000,       -4.471,        2.276,     -2.286
24              ,  290 37 46 ,  119 14 00,      4.257,      0.000,      0.000,       -3.477,        1.309,     -2.079
25              ,  297 00 13 ,  129 49 12,      2.738,      0.000,      0.000,       -1.874,        0.955,     -1.753
26              ,  317 20 13 ,  117 02 42,      2.933,      0.000,      0.000,       -1.770,        1.921,     -1.334
27              ,  334 26 59 ,  114 09 52,      2.929,      0.000,      0.000,       -1.153,        2.411,     -1.199
28              ,  353 11 26 ,  112 28 24,      3.401,      0.000,      0.000,       -0.373,        3.121,     -1.300
29              ,    9 11 21 ,  115 18 05,      3.906,      0.000,      0.000,        0.564,        3.486,     -1.669
30              ,   16 23 52 ,  117 38 04,      4.596,      0.000,      0.000,        1.149,        3.906,     -2.132
31              ,   24 03 07 ,  126 06 03,      3.215,      0.000,      0.000,        1.059,        2.372,     -1.894
32              ,   12 53 21 ,  122 15 28,      2.812,      0.000,      0.000,        0.530,        2.318,     -1.501
33              ,  356 46 06 ,  123 33 49,      2.597,      0.000,      0.000,       -0.122,        2.160,     -1.436
34              ,   19 59 54 ,  107 28 41,      6.110,      0.000,      0.000,        1.993,        5.477,     -1.835
35              ,   36 26 38 ,  110 35 25,      4.879,      0.000,      0.000,        2.713,        3.674,     -1.716
36              ,   36 26 39 ,  107 10 10,      6.205,      0.000,      0.000,        3.522,        4.769,     -1.832
37              ,   49 21 12 ,  108 02 48,      5.317,      0.000,      0.000,        3.836,        3.293,     -1.647
38              ,   61 38 33 ,  112 04 46,      4.679,      0.000,      0.000,        3.815,        2.059,     -1.759
39              ,   61 35 00 ,  123 09 41,      3.144,      0.000,      0.000,        2.314,        1.252,     -1.720
40              ,   38 29 02 ,  119 22 04,      3.789,      0.000,      0.000,        2.055,        2.585,     -1.858
41              ,  310 25 29 ,  108 15 10,      8.354,      0.000,      0.000,       -6.040,        5.145,     -2.617
42              ,  298 20 39 ,  109 39 52,      8.322,      0.000,      0.000,       -6.897,        3.721,     -2.801
43              ,  293 31 40 ,  112 29 30,      6.533,      0.000,      0.000,       -5.534,        2.410,     -2.499
