   Point ID     ,  Hz.(º ' "),  V.(º ' "),Slope Dist.(m),Refl.Ht.(m),Inst.Ht.(m),Easting(m),  Northing(m),  Height(m)
ADG             ,  359 59 58 ,   90 11 09,          0,      0.000,      0.000,            0,            0,          0
2               ,  318 43 07 ,   70 10 09,      7.512,      2.150,      0.000,       -4.662,        5.310,      0.398
3               ,  299 04 58 ,   76 36 43,      9.555,      2.150,      0.000,       -8.124,        4.518,      0.062
4               ,  304 26 13 ,   77 55 18,     11.618,      2.150,      0.000,       -9.370,        6.424,      0.281
5               ,  312 41 12 ,   77 21 33,     10.717,      2.150,      0.000,       -7.687,        7.090,      0.195
6               ,  321 30 23 ,   73 10 31,      9.555,      2.150,      0.000,       -5.692,        7.158,      0.616
7               ,  333 46 14 ,   76 04 24,     10.534,      2.150,      0.000,       -4.519,        9.172,      0.385
8               ,  331 48 53 ,   79 11 07,     11.661,      2.150,      0.000,       -5.410,       10.095,      0.038
9               ,  322 07 48 ,   81 06 55,     11.385,      2.150,      0.000,       -6.905,        8.880,     -0.392
10              ,  311 19 23 ,   80 57 43,     11.614,      2.150,      0.000,       -8.613,        7.573,     -0.326
11              ,  303 04 18 ,   79 55 56,     13.496,      2.150,      0.000,      -11.135,        7.251,      0.209
12              ,  311 15 10 ,   79 05 01,     13.422,      2.150,      0.000,       -9.908,        8.690,      0.392
13              ,  305 30 28 ,   81 49 52,     16.376,      2.150,      0.000,      -13.195,        9.415,      0.177
14              ,  312 22 59 ,   82 34 57,     18.108,      2.150,      0.000,      -13.264,       12.104,      0.188
15              ,  300 30 03 ,   84 45 56,     18.536,      2.150,      0.000,      -15.905,        9.369,     -0.459
16              ,  298 05 06 ,   85 51 50,     19.874,      2.150,      0.000,      -17.488,        9.332,     -0.717
17              ,  301 37 36 ,   85 58 20,     20.582,      2.150,      0.000,      -17.482,       10.766,     -0.704
18              ,  306 56 06 ,   85 40 26,     19.301,      2.150,      0.000,      -15.384,       11.565,     -0.694
19              ,  309 52 22 ,   86 16 54,     22.701,      2.150,      0.000,      -17.385,       14.522,     -0.678
20              ,  312 52 32 ,   85 45 47,     20.426,      2.150,      0.000,      -14.928,       13.860,     -0.641
21              ,  314 10 56 ,   83 16 09,     19.211,      2.150,      0.000,      -13.682,       13.297,      0.102
22              ,  321 29 25 ,   82 31 01,     16.958,      2.150,      0.000,      -10.469,       13.157,      0.059
23              ,  330 26 20 ,   81 23 01,     16.347,      2.150,      0.000,       -7.974,       14.059,      0.299
24              ,  336 54 54 ,   82 33 07,     16.025,      2.150,      0.000,       -6.231,       14.618,     -0.073
25              ,  345 04 09 ,   81 00 15,     16.932,      2.150,      0.000,       -4.309,       16.159,      0.497
26              ,  347 48 40 ,   81 53 06,     20.402,      2.150,      0.000,       -4.265,       19.743,      0.730
27              ,  338 08 13 ,   84 20 54,     21.930,      2.150,      0.000,       -8.127,       20.254,      0.010
28              ,  331 46 01 ,   84 50 14,     24.228,      2.150,      0.000,      -11.415,       21.259,      0.030
29              ,  336 04 19 ,   85 06 50,     27.556,      2.150,      0.000,      -11.136,       25.096,      0.197
30              ,  342 46 48 ,   85 05 04,     28.394,      2.150,      0.000,       -8.375,       27.022,      0.283
31              ,  351 20 47 ,   84 29 59,     30.087,      2.150,      0.000,       -4.506,       29.608,      0.734
32              ,  346 20 52 ,   84 50 03,     31.124,      2.150,      0.000,       -7.316,       30.122,      0.652
33              ,  350 33 44 ,   86 10 34,     32.456,      2.150,      0.000,       -5.310,       31.945,      0.014
34              ,  345 27 40 ,   86 13 52,     32.309,      2.150,      0.000,       -8.093,       31.207,     -0.026
35              ,  338 44 03 ,   86 34 32,     31.784,      2.150,      0.000,      -11.507,       29.566,     -0.251
36              ,  340 48 09 ,   86 26 12,     34.201,      2.150,      0.000,      -11.224,       32.236,     -0.024
37              ,  347 38 34 ,   85 25 40,     34.494,      2.150,      0.000,       -7.358,       33.588,      0.600
38              ,  353 14 17 ,   85 22 56,     35.307,      2.150,      0.000,       -4.144,       34.947,      0.693
39              ,  354 19 19 ,   86 21 00,     37.476,      2.150,      0.000,       -3.700,       37.216,      0.236
40              ,  348 43 59 ,   86 42 00,     36.708,      2.150,      0.000,       -7.160,       35.941,     -0.037
41              ,  343 25 48 ,   86 18 49,     37.188,      2.150,      0.000,      -10.583,       35.570,      0.241
42              ,  348 33 47 ,   85 57 25,     38.906,      2.150,      0.000,       -7.695,       38.039,      0.593
43              ,  354 04 37 ,   85 52 03,     39.222,      2.150,      0.000,       -4.037,       38.911,      0.677
44              ,  355 29 13 ,   86 54 38,     40.420,      2.150,      0.000,       -3.176,       40.237,      0.028
45              ,  349 16 13 ,   86 35 57,     41.061,      2.150,      0.000,       -7.631,       40.272,      0.286
46              ,  346 18 37 ,   87 03 37,     42.087,      2.150,      0.000,       -9.947,       40.838,      0.008
47              ,  343 15 54 ,   86 54 48,     43.055,      2.150,      0.000,      -12.379,       41.172,      0.168
48              ,  349 36 05 ,   86 53 43,     44.725,      2.150,      0.000,       -8.061,       43.926,      0.272
49              ,  355 28 05 ,   86 41 19,     45.858,      2.150,      0.000,       -3.617,       45.638,      0.499
50              ,  351 52 41 ,   86 48 50,     47.939,      2.150,      0.000,       -6.762,       47.385,      0.514
51              ,  346 15 43 ,   87 06 47,     47.569,      2.150,      0.000,      -11.282,       46.149,      0.246
52              ,  347 53 49 ,   87 09 51,     50.537,      2.150,      0.000,      -10.583,       49.353,      0.350
53              ,  351 21 02 ,   87 15 21,     50.387,      2.150,      0.000,       -7.569,       49.757,      0.262
54              ,  355 55 50 ,   87 03 18,     50.299,      2.150,      0.000,       -3.565,       50.106,      0.434
55              ,  354 20 44 ,   87 29 19,     52.818,      2.150,      0.000,       -5.199,       52.510,      0.164
56              ,  356 52 49 ,   88 11 41,     54.080,      2.150,      0.000,       -2.942,       53.973,     -0.446
57              ,  353 43 49 ,   87 34 20,     54.910,      2.150,      0.000,       -5.991,       54.532,      0.176
58              ,  350 36 34 ,   87 28 31,     54.137,      2.150,      0.000,       -8.825,       53.360,      0.235
59              ,  350 25 13 ,   87 49 26,     56.685,      2.150,      0.000,       -9.427,       55.854,      0.003
60              ,  356 01 08 ,   89 16 56,     45.177,      0.000,      0.000,       -3.136,       45.064,      0.566
61              ,  356 46 52 ,   89 40 29,     45.075,      0.000,      0.000,       -2.531,       45.003,      0.256
62              ,  358 21 36 ,   90 31 23,     45.178,      0.000,      0.000,       -1.293,       45.158,     -0.412
