   Point ID     ,  Hz.(º ' "),  V.(º ' "),Slope Dist.(m),Refl.Ht.(m),Inst.Ht.(m),Easting(m),  Northing(m),  Height(m)
1631            ,   91 06 40 ,   70 15 28,      4.679,      0.000,      0.000,      -20.591,       21.855,      4.053
1632            ,   76 21 20 ,   70 15 32,      4.877,      0.000,      0.000,      -20.533,       23.023,      4.120
1633            ,   67 55 27 ,   70 15 38,      6.115,      0.000,      0.000,      -19.659,       24.103,      4.538
1634            ,   55 39 51 ,   79 58 53,      5.888,      0.000,      0.000,      -20.205,       25.211,      3.497
1635            ,   66 41 09 ,   79 59 01,      3.958,      0.000,      0.000,      -21.414,       23.483,      3.161
1636            ,   82 49 28 ,   79 58 58,      3.437,      0.000,      0.000,      -21.636,       22.363,      3.070
1637            ,  100 08 18 ,   79 58 47,      3.459,      0.000,      0.000,      -21.640,       21.340,      3.075
1638            ,  116 37 14 ,   79 58 42,      4.611,      0.000,      0.000,      -20.934,       19.906,      3.275
1639            ,  135 49 21 ,   91 56 38,      4.914,      0.000,      0.000,      -21.571,       18.418,      2.306
1640            ,  124 51 51 ,   94 39 23,      3.194,      0.000,      0.000,      -22.382,       20.120,      2.213
1641            ,   94 25 41 ,   98 29 15,      2.211,      0.000,      0.000,      -22.813,       21.771,      2.146
1642            ,   67 11 56 ,   96 58 46,      2.427,      0.000,      0.000,      -22.773,       22.874,      2.178
1643            ,   51 19 02 ,   94 25 03,      3.313,      0.000,      0.000,      -22.415,       24.005,      2.217
1644            ,   43 31 34 ,   89 24 35,      6.499,      0.000,      0.000,      -20.518,       26.652,      2.540
1645            ,   29 42 23 ,   99 49 09,      5.081,      0.000,      0.000,      -22.512,       26.289,      1.606
1646            ,   24 25 29 ,  104 49 34,      4.456,      0.000,      0.000,      -23.212,       25.862,      1.332
1647            ,   24 25 25 ,  117 28 06,      2.748,      0.000,      0.000,      -23.985,       24.160,      1.205
1648            ,   43 24 31 ,  136 11 56,      1.789,      0.000,      0.000,      -24.143,       22.840,      1.181
1649            ,  352 29 28 ,  136 04 00,      1.866,      0.000,      0.000,      -25.163,       23.224,      1.129
1650            ,  356 13 54 ,  114 34 31,      3.363,      0.000,      0.000,      -25.195,       24.992,      1.074
1651            ,  357 56 24 ,  103 28 06,      5.855,      0.000,      0.000,      -25.198,       27.630,      1.109
1652            ,  358 37 43 ,   98 45 42,     10.074,      0.000,      0.000,      -25.232,       31.894,      0.938
1653            ,  359 00 30 ,   94 31 16,     17.465,      0.000,      0.000,      -25.295,       39.349,      1.096
1654            ,  359 10 24 ,   93 45 27,     23.007,      0.000,      0.000,      -25.325,       44.895,      0.965
1655            ,    0 47 45 ,   93 20 28,     19.811,      0.000,      0.000,      -24.719,       41.715,      1.318
1656            ,    7 26 00 ,   90 48 07,     20.752,      0.000,      0.000,      -22.309,       42.516,      2.182
1657            ,    7 25 56 ,   90 48 09,     20.755,      0.000,      0.000,      -22.309,       42.519,      2.182
1658            ,   10 11 21 ,   88 37 08,     21.047,      0.000,      0.000,      -21.271,       42.649,      2.980
1659            ,   15 05 19 ,   85 01 30,     21.058,      0.000,      0.000,      -19.533,       42.195,      4.299
1660            ,   18 33 16 ,   82 54 22,     20.477,      0.000,      0.000,      -18.528,       41.204,      5.001
1661            ,   18 33 18 ,   82 54 23,     20.477,      0.000,      0.000,      -18.527,       41.204,      5.001
1662            ,   22 16 48 ,   79 57 29,     21.296,      0.000,      0.000,      -17.043,       41.344,      6.186
1663            ,   25 50 11 ,   78 54 13,     20.937,      0.000,      0.000,      -16.040,       40.432,      6.502
1664            ,   22 11 11 ,   81 23 13,     19.722,      0.000,      0.000,      -17.630,       39.996,      5.426
1665            ,   17 35 55 ,   84 49 12,     17.985,      0.000,      0.000,      -19.578,       39.013,      4.096
1666            ,    8 18 00 ,   90 48 39,     18.888,      0.000,      0.000,      -22.267,       40.628,      2.205
1667            ,    3 27 24 ,   94 53 22,     11.784,      0.000,      0.000,      -24.286,       33.659,      1.468
1668            ,    3 27 24 ,   93 21 35,     14.265,      0.000,      0.000,      -24.135,       36.154,      1.637
1669            ,    3 27 29 ,   98 38 54,      7.171,      0.000,      0.000,      -24.566,       29.017,      1.394
1670            ,    4 22 31 ,  103 30 09,      5.241,      0.000,      0.000,      -24.605,       27.021,      1.249
1671            ,   12 44 31 ,  112 08 57,      3.289,      0.000,      0.000,      -24.322,       24.911,      1.233
1672            ,   28 28 32 ,  100 06 50,      5.122,      0.000,      0.000,      -22.590,       26.372,      1.573
